Title,Genre,Premiere,Runtime,IMDB Score,Language,Release Year,Decade,IMDB Category,Language Group,Genre Group
Paddleton,Drama-Comedy,2019-02-22,89,7.2,English,2019.0,2010.0,High,English,Drama/Romance
Private Life,Drama,2018-10-05,124,7.2,English,2018.0,2010.0,High,English,Drama/Romance
Seventeen,Coming-Of-Age Comedy-Drama,2019-10-18,99,7.2,Spanish,2019.0,2010.0,High,Non-English,Drama/Romance
Sometimes,Drama,2018-05-01,101,7.2,Tamil,2018.0,2010.0,High,Non-English,Drama/Romance
Soni,Crime Drama,2019-01-18,97,7.2,Hindi,2019.0,2010.0,High,Non-English,Drama/Romance
The 40-Year-Old Version,Comedy,2020-10-09,124,7.2,English,2020.0,2020.0,High,English,Comedy
The Disciple,Drama,2021-04-30,129,7.2,Marathi,2021.0,2020.0,High,Non-English,Drama/Romance
The Edge of Democracy,Documentary,2019-06-19,121,7.2,Portuguese,2019.0,2010.0,High,Non-English,Documentary
The King,Historical Drama,2019-11-01,140,7.2,English,2019.0,2010.0,High,English,Drama/Romance
The Siege of Jadotville,War,2016-10-07,108,7.2,English,2016.0,2010.0,High,English,Other
Dolemite Is My Name,Biopic,2019-10-25,118,7.3,English,2019.0,2010.0,High,English,Other
El Camino: A Breaking Bad Movie,Crime Drama,2019-10-11,121,7.3,English,2019.0,2010.0,High,English,Drama/Romance
Father Soldier Son,Documentary,2020-07-17,100,7.3,English,2020.0,2020.0,High,English,Documentary
Get Me Roger Stone,Documentary,2017-05-12,101,7.3,English,2017.0,2010.0,High,English,Documentary
I'm No Longer Here,Drama,2020-05-27,105,7.3,Spanish,2020.0,2020.0,High,Non-English,Drama/Romance
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,2020-07-08,96,7.3,Spanish/English,2020.0,2020.0,High,English,Documentary
Okja,Action-Adventure,2017-06-28,121,7.3,English/Korean,2017.0,2010.0,High,English,Action/Adventure
On My Skin,Crime Drama,2018-09-12,100,7.3,Italian,2018.0,2010.0,High,Non-English,Drama/Romance
